"An 0"	"An 30"	"An 60"	"An 120"	"O2 0"	"O2 1"	"O2 5"	"O2 10"	"O2 15"	"O2 30"	"O2 45"	"O2 60"	"O2 120"
"Fumarate"	0	0.159346749395624	0.150639250900829	0.206441217923688	0	0.370976898133803	0.142775800831009	0.264361442076299	0.138122980259654	0.117906153257767	0.120122706219315	0.141561590803133	0.21083773542776
"Gluconate"	0	0.342349739702811	0.250640903895847	0.196950775214989	0	0.743924527344871	0.214637806229852	0.49133832206885	0.253341758208439	0.198318139657585	0.222404711424474	0.243218664775829	0.238275171898198
"Glucose-6-phosphate"	0	0.28584114173009	0.121590826174167	0.249472763626301	0	0.146376975549135	0.109270766456144	0.14072587711972	0.0882718059618405	0.0972424514168973	0.0870340443137444	0.120220517846175	0.176989612851141
"Glutamate"	0	0.0617133079118076	0.0611808839396529	0.155366659423328	0	0.218958738229785	0.0934161913307836	0.116402992566453	0.127295492201569	0.110437957109111	0.138783420331435	0.153126682310622	0.077689162480845
"Glutamine"	0	0.150726039748538	0.0751468491898692	0.1150988978497	0	0.300990210391498	0.0992692169011083	0.084004402588366	0.0865077947260025	0.085180735466276	0.124145683329461	0.188927055979367	0.237123646088623
"Glutathione disulfide"	0	0.165219475830743	0.144328915141562	0.202137373590578	0	0.376890992547344	0.169792443200378	0.181603933680655	0.190431464178987	0.20082857570264	0.25431869986463	0.285593356113709	0.29181560119499
"Glutatione (reduced)"	0	0.0462223193180915	0.0557023875985401	0.130179617999531	0	0.178315789951667	0.0801516955387349	0.0737209964200403	0.100933428831462	0.0958902250054654	0.129933633756566	0.135460595299996	0.128550120412064
"Glycerate"	0	0.136369023952976	0.173138580661556	0.153043522579488	0	0.443707801847688	0.210736486723318	0.234891057478571	0.257807819645622	0.198083187552588	0.204563065794991	0.139260675211146	0.22454074294145
"Glycerol-3-phosphate"	0	0.0810265214276107	0.0410958810081855	0.106099808637291	0	0.166999462178611	0.126447586474345	0.142268863528702	0.127420118881406	0.0927921856808932	0.0985794500523695	0.0921021764797706	0.0731106995272966
"GTP"	0	0.623030789563563	0.301793909806525	0.46468900431852	0	0.194745711511361	0.276325368174464	0.431594054395628	0.411700194490434	0.341210656969816	0.336120966484549	0.317573523005822	0.2775036763497
"HMBPP"	0	0.735045120188404	0.495928630495646	0.449675745540289	0	0.318675895309535	0.548052309333269	1.38631464793641	0.205670626632376	0.47344522408588	0.570744946197336	0.358838277826871	0.466673886019094
"Homocysteine"	0	0.331344943699997	0.452011670292237	0.480962819527714	0	0.310125210580264	0.250907249136123	0.249985128880096	0.229728875450804	0.309548796420606	0.350439489262409	0.457801434890558	0.500944361725272
