2-Dehydro-3-deoxy-arabino-heptonate-7P	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C13-label-1	377113.97	132544.69	249051	283408.12	283402.53	518876	475729.34	823461	647279.56	185497.08	517287.84	417731.66	520069.5	507518.88	648449.31	818568.31	745067.44	1017132.19	409357.5	455471.25	717883.81	480053.66	513036.16	497206.09	901665.81	929907.31	746159.81	475311.91	792333.31	886344	1240073.62	575171.81	669042.69	786701.06	919691.81
C13-label-2	111535.91	40801.25	36073.54	86846.76	72076.66	63150.63	85956.41	129570.94	134596.11	112524.34	105427.31	136631.42	161330.06	155125.33	103330.65	121388.81	150823.81	161517.67	164197.7	156435.31	105726.02	149814.41	174380.27	168886.8	162494.09	177718.55	149378.03	189718.77	197163.55	120498.65	168625.08	252146.31	200029.2	232211	190936.62
C13-label-3	5021263.5	1775123.38	2937046.25	3272258.75	3034795.75	4266593	4728508.5	5863337.5	5471488	3965475	4687239	5112180	5524028.5	5599801.5	6350899.5	6675934.5	6884864	7371323.5	5760076.5	6308682	6927221.5	6061968	6821603.5	5853942.5	7556822.5	8000816	6899298.5	6721689.5	7924474.5	7091740.5	8257955.5	7848064	8254840	8622756	8537013
																																			
6-phosphogluconate	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	3660840	1206705.62	4141100	4751480.5	3063889	5700696	6140050.5	6763052.5	11751461	2628455	4443454.5	6018398	6033166	6782562	8757392	11396891	9753683	13429311	3930438.25	4220684.5	8291151.5	6966351.5	5497698	5351880	10950069	13088837	11950264	6840661.5	11428341	10626419	11831400	8008266.5	11543784	13155240	7824906
C13-label-1	223142.88	91773	272725.16	323022.03	218200.7	432548.84	407377.12	462122.53	825219.94	177696.73	293280.12	419117.66	438782.72	469909	640818.31	790507.25	673806.19	917238	220487.8	312346.78	569038.19	446844.75	358273.16	389934.03	851034	913348.81	846319.5	439558.53	876161.31	702615	730691.94	571265.06	788330.94	901015.5	572866.19
C13-label-2	0	5519.96	26378.16	28351.99	31846.74	42256.46	42993.49	107304.69	167898.25	37956.14	36585.48	84325.8	119361.46	102660.02	151500.69	220237.56	183402.44	113833.19	57647.41	63138.17	129741.84	51837.12	123019.03	67940.32	243550.3	301640.5	163444.23	139034.36	218491.56	226389.7	156731.91	177172.42	202044.14	277319.19	146969.94
C13-label-3	0	0	0	0	0	0	0	0	7308.45	4322.56	0	8143.76	0	0	7713.47	6893.73	0	7403.49	0	0	0	5040.52	0	0	6598.72	0	7320.23	0	0	7292.51	7554.09	7927.74	0	8760.65	0
C13-label-4	6307.68	0	0	0	4561.8	5229.31	0	13338.15	7921.55	0	6543.87	4757.76	5358.23	4507.25	0	0	9110.37	0	5395.66	6480.5	5815.4	5934.06	0	11862.04	11834.61	17368.91	8340.71	6918.52	0	6510.48	10047.87	8787.08	0	0	6021.88
C13-label-5	197299	72646.31	124989.52	140204.69	129270.21	155190.28	171129.06	173324.36	229844.14	147136.58	164606.73	183019.33	196430.88	177740.08	212885.83	305800.16	257028.23	236868.17	230981.95	248590.27	233290.67	224732.33	200129.38	195810.42	261679.31	289685.91	291955.25	259742.8	286386.19	254093.88	282090.59	352239.16	307536.12	366027.41	291226.34
C13-label-6	892712.44	350790.78	532269.25	626210	535245.44	808460.25	856915.75	971021.31	1163131	796629.31	860653.31	1052971.62	940487.75	1025247.06	1076984.62	1207573.38	1199038.25	1220542.38	1104238.62	1104090.38	1160780.88	1064323.75	1142246.38	936229.56	1279433.62	1344982.5	1417007	1344926.62	1433633.38	1124636.62	1240461	1836779.5	1540348.12	1602435.38	1410112.62
																																			
