2-Dehydro-3-deoxy-arabino-heptonate-7P	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
Citrate	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	28556170	8795143	19862448	20240558	22503474	24066232	24638570	27625034	33778704	18588122	25109002	28687210	30173994	33383406	39367012	40081228	35354148	49705296	25713366	31140614	33689688	24584720	34460096	33545810	39414512	47674892	40938412	23444902	37706516	34720252	37736296	41730204	41604540	45375220	40148012
C13-label-1	1836042.5	556648.31	1316471	1317854.12	1449793	1622381.62	1548130.5	1802141	2088903.5	1201554.88	1544523	1840187.38	1963181	2174599	2656805	2665900.75	2239465.75	3276602.75	1685849.62	2082028.5	2160571	1657303.38	2283493.25	2076876.38	2564202	3304217.25	2671758	1687838.5	2483706	2364541.25	2555606	2842788	2842497.75	3067704.75	2605808.75
C13-label-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188999.02	0	0	0
C13-label-3	184134.12	47984.35	107871.72	111748.41	110560.04	138206.42	120629.7	181665.08	189764.39	113387.84	132359.92	151345.36	153675.48	145292.73	151418.7	183545.45	184645.75	172871.61	172435.05	137326.39	183509.17	166846.48	185575.38	178727	177725.17	162199.77	182029.52	149140.97	173638.3	184173.81	195128.8	259886.2	193333.98	207628.06	200797.2
C13-label-4	1125077.12	322031.62	542486.12	663018.44	664805.06	763237.19	900833.44	915049	1016261.69	823135.44	821761.75	931360.94	864459	941780.25	1039731.44	1079950.88	1110111.88	1155705.38	1011259.25	1017614.06	1083231.62	991026.06	1068808.88	1009039.75	1110037	1181539.88	1119245	1098170.38	1329670.62	1071895.5	1190539.75	1448064.12	1231067.12	1348381.88	1320867.5
C13-label-5	7684611.5	2379369.25	4207364.5	4977946.5	5227697.5	5880922.5	6024208.5	6713048.5	7064516	5949682	6050047.5	6754085.5	7298489.5	7087109.5	7632748.5	8193744	8323466	8086292	7431767.5	7588325.5	7928700	7728556.5	8200006.5	7663417.5	8286097.5	8704204	7790154	8383832.5	9309436	8239453.5	8199851.5	10022679	9654212	9679049	9349816
C13-label-6	33534742	10628431	18336672	22406834	22288210	25798970	26854928	29670658	31745832	26092208	26505938	29562366	31762166	31187850	34335892	35494140	37287796	36578172	31758246	33493734	35263244	34026812	35840804	34091392	36146032	37368052	35162096	36827948	40080460	35540900	36757960	43693192	41228152	41925844	40160028
																																			
Citrulline	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	3923034	5346162	8799981	7466702	3298245.25	4198321.5	4876696.5	4865184.5	6889182.5	3965963.25	6094642.5	6595294	6072034.5	4178374.75	6133726	5670017.5	2238136.75	5115198.5	4492445.5	5021689.5	7843789.5	6716591.5	5860488.5	6223101.5	6388485.5	4188850.75	7017878	3787592	4782485.5	4409843.5	6001192	6536367.5	3829095.25	6319209.5	4810513.5
C13-label-1	295407.09	293798.66	544791.25	511155.28	139421.62	207697.23	261370.67	282426	351492.88	195079.73	450742.41	498088.38	488788.72	0	387958.41	385261.84	0	203445.52	272686.84	232601.75	403383.62	521434.41	249714.33	398536.97	267742.97	239148.02	432144.28	232249.2	172328.05	378924.28	369086.88	342827.5	253292.17	379089.88	133120.64
C13-label-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55730.07	0	0	0	0	0	0	0	0	0	0	0
C13-label-4	120584.62	39016	100981.02	63402.43	69143.04	45898.11	99496.06	152122.23	74521.42	98742.06	137272.67	46586.35	43390.63	85923.88	193203.62	63852.94	60357.97	114180.34	83768.71	106489.77	77170.97	136185.27	230356.98	189759.12	73131.57	68793.73	299881.66	137036.11	153123.23	116477.04	305325.41	159933.02	57888.81	110476.26	118301.62
C13-label-5	302746.84	432902.78	428284.91	362011.91	344817.12	231301	325298.66	482562.72	452982.16	492112.84	305863.34	278291.53	288171.34	250047.27	417687.09	501684.16	239929.5	262350.72	343001.22	379367.59	438330.38	470065.34	362587.84	506952.25	497368.88	325029.72	476537.53	406537.66	463045.91	525703.5	306808.34	387405.34	348914.41	450314.5	401127.16
C13-label-6	1017385.5	1127831.62	968078.94	908622.69	659505.31	783860.94	1046309.31	1454857	1252932.12	1061750.62	1020354.25	869723.69	849183.31	709116.94	1358121.88	1059234.38	648920.06	1149443.38	849559.19	802375.69	1025377	887321.56	1200197.12	1367767.12	1088431.75	764409.31	1207766.38	1118461.62	1015298.94	986618.06	1114071.62	1271132.75	1000158.25	1061265.75	977696.81
																																			
cMEPP	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	1279043.12	1048045.25	25447542	54620004	63824288	74254240	3608661.75	3576213	4334376.5	1167845	2337055	18219530	70414576	89405896	93761752	7540613.5	4988794	6029578.5	1945748	2298184.25	22855190	64053360	114162432	82895472	8406985	6485312	7698841.5	1584064.88	1718143.5	1494380.88	2181174.25	1914703.38	1978194	1973895.88	1301990.88
C13-label-1	68000.16	68126.68	1373373.88	3223249.75	3851104	4373993.5	217893.94	198003.5	244905.05	77836.4	100616.82	1105949.25	4036697.25	5290612.5	5613345.5	423897.72	258638.27	392950	119711.81	130966.25	1411245.62	3621292	6663176	4739338	454052.12	380172.97	438942.66	84805.81	106454.62	80827.2	92233.01	105748.56	104586.38	137533.95	66720.23
C13-label-2	6844.68	13525.8	149963.27	1025577.69	745272.94	0	75440.65	83894.32	75244.88	13593.61	22013.91	298539.78	1259302.38	1739174.5	1823140.38	93299.88	92142.25	113718.23	8689.95	39027.93	451013.34	1161483.75	2154931.75	1474882.38	161369.95	120341.31	144980.23	14092.43	24936.57	18115.55	10473.44	28011.12	25059.71	22355.22	0
C13-label-3	4853.05	0	7679.38	27000.78	37956.96	27857.49	0	5581.6	5623.7	0	7907.78	0	61369.51	39828.35	73335.79	5229.76	0	9222.35	0	0	22555.71	65178.18	120191.98	101860.16	0	0	0	0	0	0	0	0	6101.09	0	0
C13-label-4	66336.88	14585.63	51700.18	44450.84	46705.56	99937.59	62201.51	79467.38	84218.16	63495.81	71944.62	63086.5	71153.7	27342.17	81676.2	75893.45	90496.82	82710.96	56031.14	96684.63	75882.25	95391.51	84806.09	66063.57	76238.01	43331.44	67441.87	83863.71	80941.18	55950.94	52139.27	78698.49	91926.25	81096.3	96679.82
C13-label-5	1017221.56	556116.38	949858.25	902521.31	756926.5	1028359.81	1164584.38	1156500.38	1140471.12	1012579.94	1131454.5	1136444.88	1054513.5	1084452.88	1400713.5	1173333.38	1254862.5	1143274.12	1141724.62	1147992.12	1266181.88	1228365	1181632.62	1007253	1212330.75	1162835.75	1225477.12	1274767.12	1275252.88	959687.44	1103285.12	1213241.38	1274406	1244813.5	1000590.31
																																			
CMP	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	255252.2	113081.32	241053.17	298914.91	277256.72	344220.97	220516.17	268249.03	283027.47	211683.94	244337.62	282525.06	353703.78	362742.41	446714.03	380791.47	333108.25	446609.41	362908.91	230692.33	408412.12	458945.5	388725.28	307605.09	406438.5	414148.25	260068.38	290402.09	472152.16	539657.69	574831.69	523722.78	417922	520178.34	389048.34
C13-label-1	13764.11	0	9638.44	36064.51	18970.88	29102.6	21737.88	0	12267.62	11110.21	17303.82	30331.79	23613.36	30943.59	40305.89	38916.59	23740.06	38985.93	37745.12	15780.48	26234.11	46192.03	33827.93	29657.44	28289.45	50410.73	11753.11	23808.69	31684.82	43876.54	63978.73	62427.61	45713.15	55314.99	28250.1
C13-label-2	0	0	4381.67	5451.41	4201.28	0	0	4193.52	3935.52	0	0	4796.44	0	0	6297.06	3975.12	5326.52	5581.49	3432.79	5134.38	9340.92	4655.48	4058.5	9485.47	6155.13	10079.35	0	3856.58	4802.43	4631.12	4221.13	19342.61	4311.51	5172.35	4422.02
C13-label-3	0	4038.79	13256.02	5623.61	12820.3	5161.07	5228.26	9443.14	19535.39	6488.07	6483.55	14199.43	20913.77	11092.96	9913.4	11205.34	15114.52	13044.02	14685.21	7516.35	10786.59	8239.5	6713.02	18489.8	10467.77	5712.94	14683.29	11472.1	18079.79	18747.93	10376.68	10332.43	11907.41	10837.34	6354.14
C13-label-4	0	114901.06	133460.86	117783.26	134978.2	138215.41	143628.56	146127.97	145598.73	123544.25	128761.35	128649.57	123475.43	144627.7	166234.33	140225.86	138564.47	146694.36	131417.05	131296.8	151863.61	131419.8	165660.27	130758.16	162260.06	148587.11	148436.44	146771.86	140793.39	165358.83	137129.8	155528.02	149436.02	118136.55	129030.68
C13-label-5	69545.88	437024	509088	523346.78	548956.06	577452.44	531578.06	561895	585158.56	502075.88	528843.69	528810.94	563040.19	485359	616381.69	567631.94	593436.56	542034.56	509644.75	541252.56	540528.12	514605.34	571489.31	567976.69	550815.44	576433.06	567710.56	622531	518835.66	616796.38	549189.06	606730.31	566520.94	495916.66	478740
C13-label-7	23940.26	0	5015.7	0	0	9596.01	7586.02	6884.48	9920.97	5831.45	11754.41	7245.03	10392.38	4536.22	9777.37	10521.83	16619.38	4632.93	11110.92	6882.59	12518.98	11582.39	5973.6	6874.53	15035.93	14338.92	12834.7	6133.8	7440.11	21836	6402.15	21865.21	13396.92	23249.73	18792.77
C13-label-8	64261.5	0	44183.93	58224.5	50476.55	59529.51	60218.12	63680.46	73101.12	54784.85	63986.92	75021.03	64935.01	71744.51	87315.16	73053.1	66963.88	68558.59	76236.74	83531.81	82583.73	78085.84	76957.55	79778.45	79525.11	78193.45	86438.59	74704.34	83477.26	77430.62	87775.69	94475.73	76652.66	83115.27	79381.28
C13-label-9	136238.27	87564.41	97942.95	124214.54	96754.46	152735.7	160111.45	174459.23	185356.55	157135.17	165137.11	187800.98	178410.33	207762.69	198326.33	186724.06	199748.75	178873.52	169476.77	201602.81	191682.36	206331.05	207125.5	187907.42	209801.69	191002.12	192075.92	218578.92	211765.95	217861.19	206330.44	251367.83	212565.14	183920.42	225546.58
																																			
CTP	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	1041322.31	368270.84	1597169.88	2584358	1672390.38	2093225.38	1402693.38	1430497.5	886704.31	748600.19	554887.12	1241258.38	1257572.12	1203053.62	1522686	1868177	2539100.25	4831701.5	1489671.62	509026.47	1590679.38	2004664.12	1389638.38	1061746.5	2411302.25	1447847	812233.81	1015710.5	4275216.5	2714610	4161184.75	4632037.5	1365491.75	5601470.5	940608
C13-label-1	101991.49	43701.61	147878.42	189645.48	160893.84	239069.05	140083.47	166413.89	109378.1	50847.61	41431.14	130537.3	146232.58	151878.47	126915.79	194200.55	271569.38	534715.44	138183.7	36367.45	157808.97	197767.5	142681.19	99430.38	232529.02	174490.91	63703.29	114625.31	409905.34	238719.58	395249.75	525208.19	157613.5	554488.94	81876.84
C13-label-2	31251.09	6895.25	54750.97	72363.21	51765.35	40951.87	42779.1	44875.58	12783.26	37458.33	12244.43	35934.79	30080.65	48383.39	42660.97	83312.16	103137.63	149751.53	52540.5	10347.12	39906.43	49787.18	28670.99	30522.97	62754.55	32748.36	13080.95	22261.67	133474.16	78985.38	142298.08	152808.8	52086.43	149842.55	11342.84
C13-label-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6537.58	9104.5	9964.11	0	0	0	0	0	0	0	0	0	0	11891.95	5737.36	0	6371.24	7220.79	7330.88	0
C13-label-5	7887.68	0	4590.61	0	0	0	0	0	0	0	0	0	0	7218.01	4929.49	0	7027.93	0	0	0	5402.54	0	0	5214.83	0	0	0	4254.85	0	0	0	0	0	0	11141.01
C13-label-6	22861.86	5813.75	14577.83	19893.15	14573.28	18930.67	32216.4	16720.07	18658.49	32829.77	26227.06	29436.53	25255.96	16590.88	30310.09	43487.97	0	42058.76	33179.78	28644.43	21990.83	28655.46	27911.52	22412.8	12603.26	24863.69	35691.2	19835.84	0	31587.64	40039.69	34829.21	43966.09	25620.63	33642.37
C13-label-7	357708.25	162965.98	215479.95	240733.58	183290.56	282594.41	266938.97	284332.72	289248.16	262373.97	223487.45	278000.03	316473.75	315727.22	265869.34	315821.47	309705.06	301914.84	291342.5	306019	286044.62	265886.34	329375.81	270656.41	325844.59	344577.66	313820.75	360795.59	347278.78	294429.66	278666.78	331285.25	309815.81	371609.09	342055.44
C13-label-8	1187659.62	477985.84	794499.81	959518.56	693705.88	956091.81	917466	1113581.88	1082117.25	938349.5	944612.5	1069157.38	1109418.38	1066895.88	1092425.38	1104835.5	1097983.88	1256859.5	1117369.38	1188986.62	1138517.62	1110631.38	1226202.62	991352.31	1262240.12	1297285.88	1132657	1232147.38	1336720.5	1035642.31	1221762.38	1090196.12	1217644.88	1572677.62	1264014.38
C13-label-9	3000377.75	1298516.5	2192021.25	2525977.75	1935514.12	2678599.75	2625222.25	3011157.75	2923294.25	2828042.75	2447916.25	2826632	2936240.75	2743772	2977851.75	3178660	3267356.75	3360268.75	2980555	3135996	3285154.75	3055655.25	3305370.25	2557571.5	3253338.75	3753382	3021056.25	3396921.25	3572509	2804804	3233062	3069468.25	3537173.25	3874334.25	3578016
																																			
dCTP	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	210608.12	37974.5	109657.48	156768.23	79888.41	110216.52	118812.43	116575.12	54754.57	145341.67	78422.24	61411.72	91709.23	82927.88	97834.27	184208.38	237648.86	201582.23	248489.12	52393.94	81362.12	103052.88	63024.9	56838.62	139560.45	116811.48	24884.28	204686.92	468169.41	353059.16	477641.12	514551.03	192623.61	603109.94	114487.05
C13-label-1	7065.58	4517.88	0	6822.07	0	5759.21	6120.86	0	0	4937.31	0	0	0	5699.44	0	5905.77	0	0	15252.97	0	0	0	0	0	6506.75	9263.76	0	6633.63	46204.76	0	30946.78	45153.3	10123.51	79656.27	0
C13-label-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8517.88	0	0	7111.87	0	10115.94	0
C13-label-6	7302.87	4748.76	5223.83	11822.27	0	5656.25	0	0	0	0	0	14558.27	0	7486.61	7693.3	0	15767.11	9221.38	6246.56	6991.61	0	7268.14	7918.04	0	15427.91	0	0	6842.01	7895.85	0	0	11933.59	8159.27	0	9207.15
C13-label-7	98490.29	42469.69	54475.88	90979.12	56119.48	71457.98	58654.11	83006.8	70613.12	89432.68	73482.68	84382.16	61812.79	107378.12	82106.23	97735.16	113170.69	107452.87	71448.05	100879.45	78488.46	93425.4	90526.29	71737.71	100940.87	118140.96	79064.41	104373.26	111520.6	82839.26	143769.95	120202.03	86482.14	122617.84	88852.81
C13-label-8	330801.88	128845.24	201780.39	208676.56	213248	295994.66	267176.47	328650.12	270156.41	284682.59	189228.8	282797.72	300881.16	252047.73	273373.72	319687.12	340799.5	296269.53	282529.12	310206.97	302099.16	297743	337718.59	257047.61	321789.75	334591.97	301260.78	327282.88	359049.53	264835.41	305335.72	370401.78	326666.5	367640.34	345129.34
C13-label-9	737236.25	356941.41	562448.38	575923.19	478287.66	602693.69	673693.12	725054.81	744025.5	594223.31	651492.31	685734.81	770638.94	717431.31	778423.06	747908.69	814338.06	782465.19	710817	789504.31	793394.5	773332.69	800180	592635.44	770829.56	878695.44	724858.44	786739.81	852804.31	680695.19	779855.75	817095.06	841918.19	948969	844783.81
																																			
Dihydroorotate	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	400411.91	205867.98	227065.45	245749.02	120001.66	117920.56	155643.12	180810.95	497660.66	148698.83	263676.16	212748.2	251877.48	178049.61	166933.05	182189.94	179867.42	457116.66	261187.67	131225.3	273032.78	289457.44	196427.42	155512.89	166126.81	294252	590092.69	234726.5	292933.09	325869.53	500794.41	350055.62	292859.97	225150.73	306308.47
C13-label-1	23188.77	4499.88	11242.6	17795.17	3769.37	3689.21	3910.45	0	26147.12	6724.03	12172.03	15853.75	13072.44	7897.77	6795.32	9299.01	7813.04	18908.99	8082.31	4739.22	13285.55	13261.84	8689.24	7707.38	5067.5	11946.5	22869.78	18285.53	30432.29	13204.63	34823.2	13003.6	13978.42	7780.06	20647.23
C13-label-2	2700.27	0	3952.04	3848.82	0	0	2751.68	4075.07	0	2521.62	0	0	2929.92	3197.98	2936.99	0	2610.03	2744.78	3262.07	0	3647.57	0	0	2324.2	2132.56	0	0	4350.19	3654.74	0	2730.38	3338.11	3539.86	7252.46	0
C13-label-3	125290.06	114172.75	129585.38	125271.75	131160.38	114676.56	129317.16	148713.94	143639.73	78137.9	116533.68	127784.91	131052.8	104459.6	156297.62	133801.23	149033.58	126678.59	86720.44	104862.69	122338.07	103704.77	142888.03	137547.2	137636.28	140838.7	119323.46	104935.28	110849.44	95391.38	127924.34	144183.81	104144.23	72228.15	80597.75
C13-label-4	488238.28	479002.12	466093.09	464841.91	499884.72	358207.09	454660.03	536742.06	520629	310723.75	472527.03	436883.75	412844.09	384449.75	517762.53	523203.66	544312.44	492720.16	329231.34	405675.22	453542.84	426720.88	537285.94	511029.91	524656.75	475653.78	513774.16	454073.75	397496.38	411284.41	460741.88	477927.09	405706.34	308893	270595.34
C13-label-5	1261685.88	1219699.62	1244438.12	1225797.38	1250474.62	1066573	1289351.38	1419358	1385874.5	677219.19	1232302.62	1176011.38	1225631.38	1104053.25	1441842	1348272.5	1411943	1352257.12	832190.75	1146515.38	1344133.5	1188340.38	1400769	1432179.38	1397092.12	1259425.88	1306767.25	1218878.12	1146266.5	1072939.38	1260946.88	1325201.62	1063213.62	778799.75	831039.56
																																			
dTTP	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	695968.38	395382.53	905127.31	1095088.88	665377.69	925783.69	910280	866326.31	634656.06	563523.81	526659.88	703663.81	708508.31	592067.31	898473.94	1145156.12	1365185.75	1358924.12	921497.69	527801.19	881750.81	1077537.88	613376.94	571967	1234267.38	980861.94	545411.62	1034222.19	2039330.88	1895799	2368139	1933051.5	1143993.25	3017910	998849.69
C13-label-1	23449.03	4261.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-7	7745.51	0	8472.83	14794.36	5847.22	6412.79	10246.04	9720.26	12572.41	11012.99	8871.87	11567.61	8532.22	6808.39	12083.56	8716.68	13521.52	9159.29	7924.64	10268.13	9652.85	18859.69	9145.44	6985.43	9167.11	17132.36	0	19472.62	15428.42	8063.83	22949.88	0	6382.2	25249.7	20842.13
C13-label-8	176145.64	100288.59	173377.39	158864.11	107232.6	160426.92	170812.89	163633.7	160715.61	140702.09	141790.2	145878.36	164271.39	178611.55	156431.58	208171.17	201157.7	181224.17	165786.38	183344.88	142207.36	187563.44	165327.86	114132.25	179715.5	185816.95	184775.83	213941.44	247144.45	146091.81	213176.2	170684.11	188844.73	187167.3	175697.45
C13-label-9	432509.66	197491.45	390667.84	363653.09	284250.03	421613.41	443745.09	415408.91	446522.66	355154	281484.06	358164.12	338469.62	409139.59	376771.88	407615.5	489454.25	446184	390959.34	481618.41	446431.75	426305	498787.25	361928.84	421245.84	455601.91	399143.84	466943.41	499421.62	362713.84	479811.34	449309.78	472867.16	465112.03	558031.88
C13-label-10	1051457.62	502934.75	683143.81	910565.69	705581.44	849854.44	889437.5	1033780.56	1082354.12	928550.5	823208.44	932414.75	1040978.19	924660	1023811.94	1080559	1166583.88	1057159.75	1045265	1143110.75	1024173.19	1194904.62	1018127.06	732499.75	973384.75	1111225	981029.31	1138273.88	1172591.38	973815	1150259.62	894304.19	1153895.88	1224031.25	1205717.62
																																			
DXP	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	1450876.38	713134.5	1172410.12	1492782.38	1537919.88	1297491	1519143.5	2145702.75	4734492.5	1250544.75	1661870.38	1534480	1937912.62	1882471.38	1554895.5	1688783	2442260	3989847.25	2023819	1839458.38	1851861.62	2213449	2459660.75	1646608.88	1410838.88	2672669.25	5950718.5	1836548.88	2269959	2043004.88	2665838	2519849.75	2324755.25	2434783	1722515
C13-label-1	80296.3	26202.49	50550.33	88525.38	77600.14	0	90862.85	105274.91	267904.09	66767.88	95533.71	81064.24	89987.23	97199.82	84918.27	75774.05	138182.92	198852.12	95181.2	99044.35	96981.07	113713.71	146394	92629.9	71855.91	143826.31	338000.91	111321.21	131057.16	107626	156785.94	108245.69	137722.02	159253.05	103274.2
C13-label-2	0	0	0	0	0	5274.63	0	0	0	5352.08	0	3640.89	0	0	0	9833.48	11755.75	38601.24	6327.39	0	6505.04	5399.26	7481.64	9016.24	5092.88	7904.29	39153.21	17698.45	5389.64	4942.17	18343.21	6628.6	8058.6	0	5640.08
C13-label-3	4298.39	0	4015.88	0	4498.67	5142.5	0	0	0	0	3874.8	0	0	4026.64	5666.25	0	4306.4	0	0	0	0	4537.44	0	0	0	5153.39	0	3558.2	0	0	0	0	5840.57	5077.08	0
C13-label-4	37654.36	0	35738.17	51205.47	53075.03	45873.43	78005.9	60262.72	85126.76	81714.82	57391.68	74646.23	81436.62	52744.97	72574.79	67537.08	77163.8	65213.36	65429.43	72530.05	74120.88	74533.68	75011	77868.28	75492.12	76283.47	43408.39	71350.63	97486.68	0	68021.51	49549.07	68663.7	76536.12	84134.54
C13-label-5	925990.75	438282.91	692965.94	870881.75	799508.25	902551.56	1115070.75	1047481.31	1118496.75	937905.31	943067	1036787.5	1036543.44	1085683.38	1112107.12	1103791.62	1199786.38	1085322.75	1018503.5	1134094.5	1172330.12	1067586.25	1177550.38	997299.56	1052331.38	1202912.5	1161414.62	1207698.12	1095270.12	1063498.5	1187818	1229106.5	1219723.75	1218972.62	1127676.5
																																			
Fructose 6-phosphate	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	2755319.25	2167691.75	3481880.25	3534588.25	3671340.75	4029388.75	4277310	4290414	4245833	2449732.25	2854572.25	3556314.25	3775248.75	4006247	4993292	5546278.5	4860533.5	4720709.5	3159724	3238124	5145800.5	4528120.5	4448506	4325268	4878474.5	5395204	4542686	3768440.75	4570256.5	4606706.5	4538357.5	6102901.5	4259849	4965296	3305471
C13-label-1	182058.2	150317.55	247105.5	211377.56	256723.92	300342	290882	288281.03	305989.78	158607.39	194957.31	235329.67	273421.72	276162.09	344549.03	370364.66	327654.41	304495.19	228165.58	204564.17	356371.75	320986.94	307964.88	308619.25	326412.5	336221.06	298516.22	250579.45	313675.84	292247.84	315676.34	435645.84	311141.88	323475.25	217330.3
C13-label-2	0	29014.06	20944.81	62955.89	24493.75	43239.06	26814.38	25440.72	29086.66	22028.63	51438.05	75698.39	34406.6	50899.06	89568.73	109194.78	83402.56	77742.21	46297.74	60204.6	84805.55	79485.81	70634.84	82777.26	87068.9	62108.8	73427.5	82744.8	35147.08	77710.84	56032.75	108875.31	73094.66	88914.82	61823.25
C13-label-3	3434.2	3267.56	3598.42	0	0	3422.97	9603.95	5155.55	3846.46	3552.02	3214.53	4797.79	5008.58	4469.41	4401.75	5157.19	7980.48	4823.45	2894.49	6540.85	12313.99	8703.11	3950.31	4935.26	9160.49	9352.18	7372.59	9651.37	12283.64	7997.46	3459.83	38537.54	3554.54	7329.85	5605.41
