C12 PARENT	409275.66	199786.52	288205.72	364676.75	422859.88	340295.5	816101.56	391874.41	262250.25	196913.06	408314.62	256447.31	169297.72	702424.19	302340.22	407701.72	204693.17	244980.38	236192.58	360601.28	542407	460771.34	364623.97	537889.44	302438.75	411172.84	262043.75	611558.75	447990.34	437048.84	779412.81	247287.39	657745.31	693504.44	296213.47	976368.81	1038534.69
C13-label-1	116489.91	64181.38	83509.06	123850.59	134331.28	107197.45	267413.16	119519.76	57997.57	57821.29	117678.04	81423.16	54660.59	194878.38	108190.62	119449.66	62919.56	93208.81	91385.72	118568.27	168310.3	136450.92	115337.34	139004.86	72800.66	126064.1	97828.16	190837.83	118599.43	137321.64	229726.42	76189.59	177976.44	198920.92	66526.91	291009.66	288482.97
C13-label-2	65949.87	56007.95	57757.39	41265.14	67200.91	63823.46	100922.98	74789.97	42369.87	35966.61	83334.58	53005.84	43883.39	86689.88	69987.16	57356.33	42205.58	59300.46	62977.12	64501.11	81704.91	76314.84	72101.93	90665.21	68474.99	71000.43	60318.12	104228.46	57575.17	61267.8	105546.12	53983.98	101919.38	100263.99	80334.2	125974.82	121466.94
C13-label-3	10516.31	7804.9	6837.4	5907.48	8067.23	5094.64	5921.56	9555.66	5517.84	10843.91	8190.44	12076.83	11254.49	19090.73	5408.83	4532.6	4989.04	10932.26	5388.76	12400.61	10697.15	6217.8	0	10997.07	6402.34	0	8440.61	5421.26	17983.59	5192.94	14994.45	5179.19	16347.59	5951.9	8784.41	5167.27	13490.23
C13-label-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4296.31	0	0	0
C13-label-7	11065.84	12002.63	5687.08	7265.62	6339.04	0	0	14421.38	11647.53	10952.62	17256.38	5324.79	10062.4	11169.93	10486.01	17408.93	10759.81	12432.29	15266.9	23438.22	5776.65	6262.74	9605.36	12472.9	9369.3	6399.67	7210.87	6877.99	14476.25	10943.1	8137	0	5693.06	11594.17	13713.75	11243.93	5879.98
C13-label-8	6367.09	6043.24	11954.77	6603.36	5338.25	4258.99	12131.34	4675.35	5513.64	5240.79	4864.54	4968.88	0	5809.32	0	10002.65	4130.67	4815.76	11920.95	7134.18	0	4116.5	4648.34	4621.68	5733.88	4653.06	4903.58	0	6122.14	8985.61	3890.23	0	11681.35	5421.32	5641.73	9825.56	5421.5
C13-label-9	0	0	0	5053.77	6181.36	9758.46	4218.32	0	5559.96	4715.38	4902.34	10684.43	4417.05	3803.87	12146.74	4517.86	4875.53	4184.86	5929.54	5364.47	5703.23	4364.99	4720.65	4437.06	4855.02	4445.95	11266	4370.79	11270.62	0	11230.65	5932.01	4675.03	0	3991.66	4572.84	5852.39
C13-label-10	29385.5	18096.79	33615.76	34198.94	21269.07	28032.84	31112.75	25432.06	26166.93	27562.78	19360.31	37624.21	40756.38	30932.94	17594.97	25512.61	28897.67	40830.21	35750.45	25335.37	43216.04	30997.48	33273.66	34052.68	34430.98	39073.69	42105.07	20980.31	27595.34	23998.81	40796.86	26598.87	28279.38	35351.41	39001.54	53105.15	17400.67
C13-label-11	178298.12	176215.2	161848.11	179536.61	175452.67	151649.95	165037.23	159635.05	172631.61	194806.58	169271.73	140937.77	157281.08	215240.94	180029.7	181698.69	166371.89	159375.88	177491.61	194238.95	191651.75	173270.23	177204.17	198236.44	193458.12	195189.67	193775.38	182476.7	193911.69	166170.94	172772.05	160155.09	167750.23	188865.3	148968.5	179096.88	184811.98
