2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	O2_0_A	O2_5_A	O2_10_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_10_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_10_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	An_0_A	An_30_A	An_60_A	An_120_A	An_0_B	An_30_B	An_60_B	An_120_B
Acetyl Coenzyme A	O2_0_A	O2_5_A	O2_10_A	O2_15_A	O2_30_A	O2_45_A	O2_60_A	O2_120_A	O2_0_B	O2_5_B	O2_10_B	O2_15_B	O2_30_B	O2_45_B	O2_60_B	O2_120_B	O2_0_C	O2_5_C	O2_10_C	O2_15_C	O2_30_C	O2_45_C	O2_60_C	O2_120_C	An_0_A	An_30_A	An_60_A	An_120_A	An_0_B	An_30_B	An_60_B	An_120_B
C12 PARENT	147612.12	154364.86	120849.59	166579.17	272735.97	186262.45	279403.41	135312.55	106933.48	230889.95	134317.83	265034.97	152446.06	178290.7	212331.62	447353.41	213338.36	327637.66	152506.38	198204.8	214575.92	155062.22	268427.34	623723.88	371858.03	399040.47	447465.84	828479.44	374401.28	492002.78	515130.5	522810.88
C13-label-1	27696.11	35703.64	17285.8	35245.49	46885.37	32334.76	53612.91	17309.92	20287.93	61498.04	22916.85	37744.41	9938.42	28848.85	57342.14	163425.7	34340.25	94666.8	22832.29	46462	46447.62	20332.88	73596.77	131704.8	123829.8	99562.44	117112.8	216315.75	121358.29	154157.05	164833.47	139875.94
C13-label-2	41624.46	10617.56	8784.55	47113.44	37741.28	30597.47	27219.43	22666.85	8197.53	47291.08	20952.51	33550.64	9295.95	29474.81	18400.63	79250.09	9178.82	20663.94	13248.4	42183.66	28097.04	30821.91	23510.56	100019.54	47883.3	43537.24	39983.68	105866.28	32376.84	68675.67	42821.93	69545.74
C13-label-3	0	0	0	9551.77	6354.38	0	0	0	0	0	0	6157.57	0	0	0	0	0	0	7879.91	0	0	0	6749.29	0	0	8044.01	9330.2	20532.53	0	7922.86	6234.16	7721.87
C13-label-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7249.41	0	0	0	0	0	0	0
C13-label-6	0	0	0	0	0	0	0	0	0	0	0	6527.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-7	10496.1	0	0	0	0	0	7144.99	11612.25	0	0	0	0	8174.61	0	0	7239.35	0	0	6439.41	8496.92	0	0	0	6921.8	0	0	0	0	0	0	0	7301.37
C13-label-8	0	0	0	7337.44	7567.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-9	0	0	0	0	7465.88	0	0	6730.32	0	0	0	6527.56	0	0	0	0	0	0	0	0	0	0	0	0	0	6675.58	0	5619.7	0	0	0	0
C13-label-10	9400.07	16193.57	9734.83	9288.49	0	8478.57	7599.01	10573.72	0	8123.27	8421.09	0	7426.3	0	9582.06	19818.73	7043.96	6912.51	9055.1	11260.39	8341.57	6917.14	9746.49	6227.21	9194.99	17089.9	8611.01	14048.41	26286.88	8383.86	18735.97	10333.58
C13-label-11	115931.21	114171.55	127040.62	115534.8	190944.44	106147.01	119142.82	144971.64	23648.15	84037.81	99971.66	116908.4	133348.25	127607.74	126255.96	167296.47	93657.71	137680.36	135118.05	108794.19	141315.09	127403.74	139434.22	140764.67	147269.3	137640.3	150330.97	102081.97	117043.34	128112.69	148718.11	119945.41
C13-label-12	384913.38	392482.59	462853.09	431295.84	425724.41	412159.38	479168.22	457640.88	131538.92	417765.25	475711.03	448792.5	472129.28	407289.97	427467.28	480293.91	368497.38	483632	501883.75	453652.16	426380.75	444836.5	436698.91	487127.34	537075.06	491203.78	454230.78	402853.66	477064.53	446603.25	470793.59	437637.38
C13-label-13	74204.41	91880.07	114491.72	71639.2	91188.84	113295.75	91564.74	109077.95	10643.84	113596.62	97520.49	105422.85	80796.52	115267.31	90998.76	98530.23	41190.55	101324.66	86475.6	111660.79	107931.24	88778.73	113459.5	55672.99	109558.5	101175.21	84925.34	82008.85	128715.85	96697.76	105870.38	60481.12
