2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	O2_A_0	O2_A_1	O2_A_5	O2_A_15	O2_A_30	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_15	O2_B_30	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_15	O2_C_30	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
6-Phospho-gluconolactone	O2_A_0	O2_A_1	O2_A_5	O2_A_15	O2_A_30	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_15	O2_B_30	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_15	O2_C_30	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	30759670	34297672	25073064	24169210	24175320	36686908	79854920	34242652	36780652	26942506	26394618	26125754	34895868	87069992	26534810	32707296	31133258	23826406	25528386	42376284	69418176	41994560	59855440	58101184	79006232	40893232	54783308	47141044	66845364
C13-label-1	2092579	2279906.75	1729969.62	1627478.62	1674026.5	2486257.75	5656385.5	2218964	2619874	2080209.38	1928457.5	1617256.38	2268613	5747277.5	1761487.38	2061610.5	2188920.25	1606371.38	1807271.88	2918738	5003094	2813959	3974203.25	3991972	5745890	2891406.75	3516202.75	3250222.75	4741803.5
C13-label-2	570674.06	603462.44	444200.38	389531.34	430634.34	662640.06	1426780.5	618407.38	737580.56	527325.44	465238.66	438016.03	632912.06	1591426.38	441770.22	618506	635271.06	430422.59	423728.12	702782	1351911.88	795501.81	1115204.12	1044990.69	1473743.88	739049.19	982306.44	918135.44	1208032.5
C13-label-3	18580.36	35549.21	13958.67	20379.69	0	29668.02	78743.62	16236.74	0	17015.96	0	0	16759.18	63883.5	19248.87	22615.91	16192.43	0	18291.67	21740.85	20246.63	24347.83	37872.33	21218.02	114212.98	21003.87	53514.93	27279.41	34874.2
C13-label-5	0	0	0	0	21238.51	0	0	0	0	0	0	15668.71	0	0	0	0	0	0	0	14329.72	0	0	0	0	0	0	18442.48	0	0
C13-label-6	315626.09	277657.84	222331.7	245034.58	325012.34	220104.3	296651.41	314070.03	265183.59	289521.56	323508.75	312185.78	353199.34	254287.42	338642.53	313885.22	283151.91	311395.81	228750.19	241662.2	293644.22	303442.34	312476.72	286487.81	259602.23	291874.47	356485.59	283239.91	209103.27
																													
Acetyl Coenzyme A	O2_A_0	O2_A_1	O2_A_5	O2_A_15	O2_A_30	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_15	O2_B_30	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_15	O2_C_30	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	1261069.88	983735.5	895396.06	698408.94	726943.75	733596	1407729.88	638826.19	831179.5	698395.81	657549.94	642348.25	610387.81	1418672.5	724644.25	1064208.88	822852.81	872619.31	905749.69	922889.5	1000699.19	1163432.25	1798386	1345795.62	2687455.25	1303854.75	1402664.38	1326826.5	2065834.88
C13-label-1	388180.09	304283.31	225138.19	205440.17	223108.33	193042.8	394448.75	197918.08	229587.27	191225.69	182533	179960.95	146131.53	380085.66	191595.31	286488.59	229259.05	223892.3	295994.16	281253.41	260857.2	370655.88	484701.84	382611.97	778944.88	427550.38	432486.66	388658.62	576746.5
C13-label-2	154060	69419.1	70540.12	82190.85	66940.92	68443.79	162956	63341.25	92432.04	90949.91	51697.63	73488.62	48117.72	153680.33	52538.29	84753.67	56291.14	104305.6	125274.09	49468.83	103574.02	132121.11	185188.8	135862.11	306554.66	172086.61	146440.75	136385.83	198606.2
C13-label-3	13160.3	9048.57	8361.56	7748.74	6834.11	8002.68	15822.77	8994.35	13250.13	0	0	6973.85	11976.84	18187.53	8702.96	6310.73	7557.02	9200.96	11133.8	9522.41	0	11863.66	29179.28	21523.53	64961.36	0	26423.46	17826.31	25645.9
C13-label-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9106.82
C13-label-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8159.35	0	0
C13-label-10	0	7302.9	0	10683.55	0	0	0	0	0	0	0	0	0	0	6796.25	0	0	0	6570.1	0	18133.38	9236.77	8664.79	0	7913.71	0	0	6446.71	0
C13-label-11	36218.78	49024.75	64047.23	64434.91	41707.78	71730.85	64829.84	48322.53	54119.64	62244.39	47055.79	59612.21	47005.2	48911.84	42936.66	48228.47	34255.47	41878.27	41932.57	67561.88	27780.26	69924.1	19814.86	49620.31	35976.71	38116.61	40956.05	70171.45	24760.42
C13-label-12	210609.56	202946.94	200301.73	205372.73	180097.33	193178.12	207522.39	189163.05	214068	185289.31	188583.92	185922.08	181040.58	191828.14	161627.8	187975.73	186805.17	151651.19	178080.19	213354.58	186992.81	192076.11	192597.8	212114.81	190343.61	184437.69	186044.7	225059.42	171812.45
C13-label-13	97327.35	83510.07	94661.74	106150.95	122592.78	98770.48	99277.6	91760.94	118916.84	96246.47	89008.53	57510.96	101332.49	78769.7	75382.85	80689.39	88767.41	70705.21	101888.35	135312	92341.38	121168.41	69082.5	96872.46	118203.06	110158.54	122459.34	136327.62	101213.21
C13-label-14	229332.33	238122.5	221597.58	212685.44	226153.64	213750.17	241105.19	201407.36	221868.88	235506.95	209640.98	226170.83	174162.58	229898.38	238305.48	176940.08	177240.7	209451.8	216936.45	202598.42	234876.7	225071.55	202765.45	214053.05	214493.62	225464.98	209078.89	250729.12	235231.38
C13-label-15	21126.84	26635.55	27229.15	27546.42	30575.12	27560.48	32238	24381.25	20819.44	33977.12	34264.47	22022.99	40894.76	22815.28	24139.52	19338.11	46097.91	26065.29	13804.55	33296.97	22714.92	0	18368.84	12538.61	20077.34	23184.66	28188.56	34768.84	23802.88
C13-label-16	6288.58	8171.53	9885.53	0	6712.3	0	0	8844.63	11285.27	8125.54	18561.93	7684.15	7619.87	7387.83	0	0	22837.88	0	6801.39	12562.04	7728.27	6928.63	8486.31	8890.91	9390.55	8157.71	5714.05	10761.9	10122.16
C13-label-17	7441.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5820.03	0
C13-label-18	0	10954.75	0	8115.8	0	0	0	6225.33	7126.38	0	7558.07	0	0	0	0	8446.72	8814.02	0	0	0	5625.61	0	6029.2	9675.73	0	7989.39	0	6796.2	0
C13-label-19	9261.76	10928.53	21423.6	33405.89	13635.09	26575.03	42624.44	23707.21	26533.54	10947.5	45998.55	25567.37	26142.08	20595.66	32610.38	30264.66	47934.09	12337.89	31150.45	35717.89	10766.03	21811.59	37747.55	10976.15	31403.14	35725.4	12832.33	33866.54	14277.27
C13-label-20	177791.11	191672.69	165730.73	145884.61	154401.92	143322.95	186708.55	159233.52	180943.17	163711.38	177002.75	189541.83	150416.16	166984.98	164381.94	143574.75	178039.67	168713.48	169782.34	183654.48	164280.38	139230.14	153018.98	151635.34	180707.77	151545.73	150772.86	174077.75	147299.48
C13-label-21	617846.19	691850.31	673846.31	695211.56	639844.19	620660	648663.94	635981.94	735476.31	739657	688092.5	661516.38	642525.12	708522.75	657456.56	651956.56	650048.69	576291.75	734790.94	643160.06	595402.81	648230.94	631837.75	772222.69	695788.25	739058.25	494057.59	664639.94	661737.81
C13-label-22	3143176	3286823.25	3139304.25	3230022.75	3179800.25	3129360.25	3359762.75	3253620	3322983	3433749	3345372.75	3263641.75	3044831.75	3332433.75	3168321.75	3048213.25	3282212.75	3046535	3286306	3288485.25	3247225	3308815.25	3204100	3278799.75	3224626	3422948.25	3281143.25	3253643	3274648
C13-label-23	7773029.5	8739959	8370922.5	8460555	8165094.5	7852052	8375898.5	8540101	8805629	8393181	7876722.5	8507124	7798546.5	8806637	8202466.5	7806275.5	8292322	8216169.5	8516575	8479058	8491993	8615887	7935990.5	8456280	8237711.5	8633670	8180803.5	8273219.5	8045124.5
																													
Acetyl-Ornithine	O2_A_0	O2_A_1	O2_A_5	O2_A_15	O2_A_30	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_15	O2_B_30	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_15	O2_C_30	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	92563096	90727944	75529480	59918940	41283484	30860352	37807060	83881528	85239296	70715048	58474500	34132028	30593262	40583540	69999144	75760040	67409584	50171868	31940022	28026336	35876568	65821536	83153224	102001768	211293360	64354836	80047040	102234328	162122864
C13-label-1	7395471.5	6958613.5	5767495.5	4393842.5	2791494.75	2329731.75	3007743.75	6681256	6949548	5448838	4662244.5	2571872.75	2456704.25	3041588.25	5460650.5	5620440	4891262	3824808	2611189.75	2007310	2941158.25	5066449.5	6177878	7757910.5	16572193	5005677.5	6402514.5	8101912	11959700
C13-label-2	437075	457959.78	249509.94	226858.8	180741.2	93957.66	137636.41	451061.84	470866.66	402467.5	199264.52	0	90846.57	248293.62	466173.5	283502.97	320081.53	158959.94	131777.42	45556.14	176336.8	0	454004.97	594399.31	1096501	353735.66	360684.88	499171.12	771956.75
C13-label-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33381.13	0	0	0	45847.92
C13-label-5	0	0	0	0	0	0	21955.2	0	0	0	0	0	0	0	0	0	0	39435.99	0	0	0	0	0	0	0	0	0	0	0
C13-label-6	325290.94	293894.12	0	274924.12	227270.02	289356.91	0	181288.48	363679.38	188985.39	198171.12	308664.12	146620.88	188947.69	0	285326.72	290046.91	333895.66	341443	398295.84	433234.34	305282.78	305170.44	182951.75	266479.53	404131.25	342981.28	380875.88	381497.12
C13-label-7	2648540.25	2658466.75	2462266.5	2517987	2681758.25	2721898	2913101	2326042.25	2595268.25	2430492	2750827.25	2660007	2858144.75	2588998.25	2658827.25	2323776.5	2811695.25	2541651.75	2468068	2425802	2707367.75	2794346.25	2473909.25	2499576	2826710.25	2866182	2617811.75	2573202.75	2658952.25
																													
Aconitate	O2_A_0	O2_A_1	O2_A_5	O2_A_15	O2_A_30	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_15	O2_B_30	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_15	O2_C_30	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	7910428	6508181.5	6425710.5	5908714	6276788	7384480	9074509	5379507.5	5518456	5851550.5	5552045.5	5627660.5	6129964	9516555	4205257.5	4655108.5	5082064	4609660.5	4833665.5	5899784.5	8181121.5	5304623.5	6412265.5	5678264	9385624	4033992.75	5147276.5	5512002	9257357
C13-label-1	483871.09	421195.03	423679.22	455362.72	410502.91	590787.25	648632.5	383516.66	414722.78	424268.03	330463.09	337868.81	394583.09	613612.81	241176.92	326127.44	346786.22	348133.97	333796.22	393178.28	531101.75	372465	387901.47	415808.12	631686.75	305794.41	396112.41	400236.66	538372.31
C13-label-2	60389.04	60015.06	43928.45	38055.2	34772	74056.11	68746.93	21641.93	45996.59	37238.81	40269.98	38301.73	41987.61	116151.75	22331.9	14990.67	51306.43	37535.82	17959.06	17487.93	74851.55	38701.27	30092.1	69257.62	69072.32	21232.53	15202.78	57000.16	85950.43
C13-label-4	51921.94	21665.3	51250.74	20643.16	14509.03	18370.12	54641.45	30442.2	57293.51	20738.25	61536.87	25650.49	59506.49	45512.7	59774.11	49266.26	55098.97	32791.02	56119.25	35152.21	13853.94	45429.4	97444.43	25794.89	45629.62	45187.31	60250.86	20357.37	34944.68
C13-label-5	935211.81	898256.31	834998.94	932274.5	987896	872895.94	840718.44	1042907	1018952	853009.31	914838.19	1048424.31	935827.19	881763.81	1020858.31	974306.19	1007894.69	1107770.38	961523.94	1004792.5	1049284.5	1050531.5	1218045.75	967178.56	1009050.19	927324.94	1017825.5	1033740.94	1036936.5
C13-label-6	3237881	4138993	3583847.25	3810368.75	3898684	3821939.5	3756864.75	4420486	4176098.75	4155915.25	4102234.75	4107261	4311410	3894144.75	4357453.5	4372243.5	4558331	4188568.75	4572773.5	4371716.5	4455749.5	4461916	4776507.5	4278087.5	3964641	4381675	4531572.5	4576698	4360052.5
																													
ADP	O2_A_0	O2_A_1	O2_A_5	O2_A_15	O2_A_30	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_15	O2_B_30	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_15	O2_C_30	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	2900711.25	1094215.12	1247414.88	674330.44	1515032.38	5023000.5	3684764	1103043.62	1216338.38	1126086.62	1142423.12	1377081.38	2488224.75	6292093.5	1415009.5	3753844	7626558.5	1574813.5	3281628	2448334.75	3612428.75	6550880	8233898.5	3824280.75	11345293	3655956	2847039.25	6864673.5	5373207.5
C13-label-1	326401.78	132185.27	136028.27	0	139392.41	508993.38	455859.28	92411.75	110071.07	118282.98	129140.34	172131.95	265566.66	644005.94	187531.62	381276.75	813522.56	178957.94	326785.84	243023.75	414094.78	774442.56	898792.56	452479.22	1295439.5	356599.41	329024.81	778973.69	636520.19
C13-label-2	44338.8	0	9263.57	0	21124.96	141306.69	102252.38	9284.49	15041.89	20980.92	13415.2	24471.9	0	146387.33	9649.31	82391.88	170024.2	37411.66	62650.8	29617.39	73907.3	162988.28	199600.92	75065.73	264888.66	97698.12	47045.61	179088.25	153542.67
C13-label-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7623.65	0	0	0	0	0	0	0	11667.31	0	0	10914.45	0
C13-label-4	0	0	0	0	0	10023.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6875.74	0	0
C13-label-7	0	0	0	0	9127.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-8	0	0	0	0	8246.83	0	0	0	6231.31	0	0	0	12717.75	7353.42	0	9359.85	0	0	7351.66	0	10048.05	0	10034.85	6729.27	10500.99	9069.21	9438.98	9889.41	6817.93
